title,price,price_numeric,location,property_url
Modern 3-Bedroom | Crystal Oak Residency,"Ksh24,000,000",24000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-3-bedroom-crystal-oak-residency/
Apartment for Sale in Riverside Drive,"Ksh19,000,000",19000000.0,"Riverside, Westlands",https://realtors.co.ke/property/3-bed-apartment-with-en-suite-for-sale-in-riverside-2/
"2 Bedroom Apartments for Rent at Bahari Homes Residency – Kilimani, Nairobi","Ksh150,000",150000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/2-bedroom-apartments-for-rent-at-bahari-homes-residency-kilimani-nairobi/
Only You Elgeyo Apartments,"Ksh28,000,000",28000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/only-you-elgeyo-apartments/
Spacious 3 Bedroom Apartment for Sale in Kileleshwa – Maiga Mairu Road,"Ksh14,000,000",14000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/spacious-3-bedroom-apartment-for-sale-in-kileleshwa-maiga-mairu-road/
Beacon by Synina Luxurious Apartments in Kileleshwa,"Ksh29,900,000",29900000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/beacon-by-synina-luxurious-apartments-in-kileleshwa/
"1 Bedroom Apartments for Rent in Kileleshwa – 76 SQM from KSh 85,000","Ksh85,000",85000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/1-bedroom-apartments-for-rent-in-kileleshwa-76-sqm-from-ksh-85000/
2 Bedroom Apartment for Sale in Kilimani – 96 sqm | Oak Breeze Residencies,"Ksh11,550,000",11550000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/2-bedroom-apartment-for-sale-in-kilimani-96-sqm-oak-breeze-residencies/
Elegant 2 Bedroom Furnished Apartment on Riverside Drive,"Ksh115,000",115000.0,Riverside,https://realtors.co.ke/property/elegant-2-bedroom-furnished-apartment-on-riverside-drive/
Modern 1 & 2-Bedroom Apartments for Sale in Westlands,"Ksh18,900,000",18900000.0,"Westlands, Nairobi",https://realtors.co.ke/property/affordable-2-bedroom-130-sqm-apartment-in-westlands/
"Modern 2-Bedroom Apartments for Sale in Kilimani – From KES 14M | Bahari Homes, Kirichwa Road (Completion Aug 2025)","Ksh14,000,000",14000000.0,Kilimani,https://realtors.co.ke/property/modern-comfort-2-bedroom-in-kilimani/
Elegant 3 Bedroom Apartment for Sale in Syokimau,"Ksh10,900,000",10900000.0,Syokimau,https://realtors.co.ke/property/elegant-3-bedroom-apartment-for-sale-in-syokimau/
SuperWest View Apartments for sale in Westlands,"Ksh6,800,000",6800000.0,Westlands,https://realtors.co.ke/property/superwest-view-apartments-for-sale-in-westlands/
Elite Penthouse for sale in kilimani,"Ksh38,000,000",38000000.0,Kilimani,https://realtors.co.ke/property/elite-penthouse-for-sale-in-kilimani/
Modern 3-Bedroom Apartments for Sale in Westlands,"Ksh39,000,000",39000000.0,"Westlands, Nairobi",https://realtors.co.ke/property/3-bedroom-apartments-for-sale-at-sunset-park-westlands/
1 Bedroom Apartment for Rent near Two Rivers | Executive Apartments,"Ksh150,000",150000.0,Nairobi,https://realtors.co.ke/property/modern-lovely-1-bedroom-apartment-for-rent/
1 Bedroom Apartment for Sale in Kileleshwa (82 sqm) | MIC Garden Nairobi,"Ksh8,200,000",8200000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/1-bedroom-apartment-for-sale-in-kileleshwa-82-sqm-mic-garden-nairobi/
Unfurnished 1 & 2 Bedroom Apartments for Rent in Kilimani – George Padmore Road,"Ksh75,000",75000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/unfurnished-1-2-bedroom-apartments-for-rent-in-kilimani-george-padmore-road/
Modern 1 & 2-Bedroom Apartments for Sale in Lavington,"Ksh6,000,000",6000000.0,Lavington,https://realtors.co.ke/property/leo-residence-apartments-for-sale-in-lavington/
Orchid Residency Apartments For Sale,"Ksh7,000,000",7000000.0,"Westlands, Nairobi",https://realtors.co.ke/property/orchid-residency-apartments-for-sale/
Luxury 1-Bedroom Apartment for Rent in Westlands,"Ksh362,740",362740.0,Westlands,https://realtors.co.ke/property/luxury-1-bedroom-apartment-for-rent-in-westlands/
Modern 5-Bedroom | Crystal Oak Residency,"Ksh41,000,000",41000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-5-bedroom-crystal-oak-residency/
Modern 4-Bedroom | Crystal Oak Residency,"Ksh26,000,000",26000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-4-bedroom-crystal-oak-residency/
Modern 3-Bedroom | Crystal Oak Residency,"Ksh24,000,000",24000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-3-bedroom-crystal-oak-residency/
Luxury 2-3 Bedroom Apartments for Sale in Ridgeways | 6040 Vista,"Ksh10,400,000",10400000.0,Nairobi,https://realtors.co.ke/property/luxury-2-3-bedroom-apartments-ridgeways-at-6040-vista/
Mordern 4 Bedroom for sale in kilimani,"Ksh26,800,000",26800000.0,Kilimani,https://realtors.co.ke/property/mordern-4-bedroom-for-sale-in-kilimani/
"2 Bedroom Apartment for Sale in Upper Hill, Nairobi (945 Sqft)","Ksh17,100,000",17100000.0,"Upperhill, Nairobi",https://realtors.co.ke/property/2-bedroom-apartment-for-sale-in-upper-hill-nairobi-945-sqft/
Modern 1-Bedroom Apartments for Sale in Kilimani,"Ksh8,300,000",8300000.0,Kilimani,https://realtors.co.ke/property/secure-spacious-1-bedroom-in-kilimani/
Venus Oak Residency Kileleshwa – 4 Bedroom Apartments + DSQ for Sale,"Ksh23,000,000",23000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/venus-oak-residency/
"3 Bedroom Apartment for Sale in Muthithi Road — Golden Mansion Apartments, Westlands","Ksh21,714,000",21714000.0,"Westlands, Nairobi",https://realtors.co.ke/property/3-bedroom-apartment-for-sale-in-muthithi-road-golden-mansion-apartments-westlands/
Ecovale Apartments For Sale in Rongai,"Ksh2,960,000",2960000.0,Rongai,https://realtors.co.ke/property/ecovale-apartments-for-sale-in-rongai/
Serenity Residency Apartment 1 & 2 Bedroom for sale Kilimani,"Ksh6,000,000",6000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/serenity-residency-apartment-1-2-bedroom-for-sale-kilimani/
Royal Legend Residency Apartment For Sale,"Ksh12,000,000",12000000.0,,https://realtors.co.ke/property/royal-legend-residency-apartment-for-sale-in-lavington/
